profil,date,conso_ref
P011,2016-07-12,0.64881311
P011,2016-07-13,0.64881311
P011,2016-07-14,0.5306562
P011,2016-07-15,0.64881311
P011,2016-07-16,0.5306562
P011,2016-07-17,0.5306562
P011,2016-07-18,0.64881311
P011,2016-07-19,0.64881311
P011,2016-07-20,0.64881311
P011,2016-07-21,0.64881311
P011,2016-07-22,0.64881311
P011,2016-07-23,0.5306562
P011,2016-07-24,0.5306562
P011,2016-07-25,0.64881311
P011,2016-07-26,0.64881311
P011,2016-07-27,0.64881311
P011,2016-07-28,0.64881311
P011,2016-07-29,0.64881311
P011,2016-07-30,0.5306562
P011,2016-07-31,0.5306562
P011,2016-08-01,0.64881311
P011,2016-08-02,0.64881311
P011,2016-08-03,0.64881311
P011,2016-08-04,0.64881311
P011,2016-08-05,0.64881311
P011,2016-08-06,0.5306562
P011,2016-08-07,0.5306562
P011,2016-08-08,0.64881311
P011,2016-08-09,0.64881311
P011,2016-08-10,0.64881311
P011,2016-08-11,0.64881311
P011,2016-08-12,0.64881311
P011,2016-08-13,0.5306562
P011,2016-08-14,0.5306562
P011,2016-08-15,0.5306562
P011,2016-08-16,0.64881311
P011,2016-08-17,0.64881311
P011,2016-08-18,0.64881311
P011,2016-08-19,0.64881311
P011,2016-08-20,0.5306562
P011,2016-08-21,0.5306562
P011,2016-08-22,0.64881311
P011,2016-08-23,0.64881311
P011,2016-08-24,0.64881311
P011,2016-08-25,0.64881311
P011,2016-08-26,0.64881311
P011,2016-08-27,0.5306562
P011,2016-08-28,0.5306562
P011,2016-08-29,0.64881311
P011,2016-08-30,0.64881311
P011,2016-08-31,0.64881311
P011,2016-09-01,0.64881311
P011,2016-09-02,0.64881311
P011,2016-09-03,0.5306562
P011,2016-09-04,0.5306562
P011,2016-09-05,0.64881311
P011,2016-09-06,0.64881311
P011,2016-09-07,0.64881311
P011,2016-09-08,0.64881311
P011,2016-09-09,0.64881311
P011,2016-09-10,0.5306562
P011,2016-09-11,0.5306562
P011,2016-09-12,0.64881311
P011,2016-09-13,0.64881311
P011,2016-09-14,0.64881311
P011,2016-09-15,0.64881311
P011,2016-09-16,0.64881311
P011,2016-09-17,0.5306562
P011,2016-09-18,0.5306562
P011,2016-09-19,0.64881311
P011,2016-09-20,0.6558082
P011,2016-09-21,0.66622651
P011,2016-09-22,0.67664482
P011,2016-09-23,0.68706313
P011,2016-09-24,0.58311047
P011,2016-09-25,0.59330756
P011,2016-09-26,0.71911947
P011,2016-09-27,0.72873637
P011,2016-09-28,0.73995608
P011,2016-09-29,0.74957299
P011,2016-09-30,0.75999129
P011,2016-10-01,0.66043842
P011,2016-10-02,0.67063552
P011,2016-10-03,0.79204763
P011,2016-10-04,0.80246594
P011,2016-10-05,0.81208284
P011,2016-10-06,0.82250115
P011,2016-10-07,0.83291946
P011,2016-10-08,0.73691662
P011,2016-10-09,0.74796347
P011,2016-10-10,0.86417439
P011,2016-10-11,0.8745927
P011,2016-10-12,0.88501101
P011,2016-10-13,0.89542931
P011,2016-10-14,0.90584762
P011,2016-10-15,0.81509433
P011,2016-10-16,0.82614118
P011,2016-10-17,0.93790396
P011,2016-10-18,0.94832227
P011,2016-10-19,0.95954199
P011,2016-10-20,0.9699603
P011,2016-10-21,0.98118001
P011,2016-10-22,0.89497155
P011,2016-10-23,0.90686816
P011,2016-10-24,1.01403776
P011,2016-10-25,1.02525748
P011,2016-10-26,1.03647719
P011,2016-10-27,1.04769691
P011,2016-10-28,1.05891663
P011,2016-10-29,0.97739805
P011,2016-10-30,0.98929466
P011,2016-10-31,1.09337719
P011,2016-11-01,1.01478739
P011,2016-11-02,1.11661803
P011,2016-11-03,1.12783775
P011,2016-11-04,1.13985888
P011,2016-11-05,1.06407333
P011,2016-11-06,1.07596994
P011,2016-11-07,1.17512085
P011,2016-11-08,1.18714197
P011,2016-11-09,1.1991631
P011,2016-11-10,1.21038282
P011,2016-11-11,1.13885201
P011,2016-11-12,1.15159838
P011,2016-11-13,1.16349498
P011,2016-11-14,1.25846732
P011,2016-11-15,1.27048845
P011,2016-11-16,1.28090676
P011,2016-11-17,1.29292788
P011,2016-11-18,1.3041476
P011,2016-11-19,1.23912342
P011,2016-11-20,1.25017027
P011,2016-11-21,1.33860816
P011,2016-11-22,1.34982788
P011,2016-11-23,1.361849
P011,2016-11-24,1.37226731
P011,2016-11-25,1.38268562
P011,2016-11-26,1.32070016
P011,2016-11-27,1.33174701
P011,2016-11-28,1.41474196
P011,2016-11-29,1.42435886
P011,2016-11-30,1.43397576
P011,2016-12-01,1.44359266
P011,2016-12-02,1.45320956
P011,2016-12-03,1.39377932
P011,2016-12-04,1.40312666
P011,2016-12-05,1.48125886
P011,2016-12-06,1.48927294
P011,2016-12-07,1.49728702
P011,2016-12-08,1.50530111
P011,2016-12-09,1.51251378
P011,2016-12-10,1.45496188
P011,2016-12-11,1.46175994
P011,2016-12-12,1.53415181
P011,2016-12-13,1.54056308
P011,2016-12-14,1.54697434
P011,2016-12-15,1.5525842
P011,2016-12-16,1.55819406
P011,2016-12-17,1.50084879
P011,2016-12-18,1.50509758
P011,2016-12-19,1.57261941
P011,2016-12-20,1.57662646
P011,2016-12-21,1.5806335
P011,2016-12-22,1.58464054
P011,2016-12-23,1.58704476
P011,2016-12-24,1.52804104
P011,2016-12-25,1.53144007
P011,2016-12-26,1.59505885
P011,2016-12-27,1.59746307
P011,2016-12-28,1.59826448
P011,2016-12-29,1.5998673
P011,2016-12-30,1.5998673
P011,2016-12-31,1.53993765
P011,2017-01-01,1.54078741
P011,2017-01-02,1.60147012
P011,2017-01-03,1.60147012
P011,2017-01-04,1.60066871
P011,2017-01-05,1.60066871
P011,2017-01-06,1.5998673
P011,2017-01-07,1.53738838
P011,2017-01-08,1.53568886
P011,2017-01-09,1.59505885
P011,2017-01-10,1.59345603
P011,2017-01-11,1.59105181
P011,2017-01-12,1.58944899
P011,2017-01-13,1.58624336
P011,2017-01-14,1.52209274
P011,2017-01-15,1.51954346
P011,2017-01-16,1.57822927
P011,2017-01-17,1.57502364
P011,2017-01-18,1.571818
P011,2017-01-19,1.56781096
P011,2017-01-20,1.56540674
P011,2017-01-21,1.49829952
P011,2017-01-22,1.49405073
P011,2017-01-23,1.55338561
P011,2017-01-24,1.55017998
P011,2017-01-25,1.54617294
P011,2017-01-26,1.54216589
P011,2017-01-27,1.53815885
P011,2017-01-28,1.46940776
P011,2017-01-29,1.46430921
P011,2017-01-30,1.52613773
P011,2017-01-31,1.52132928
P011,2017-02-01,1.51652083
P011,2017-02-02,1.51331519
P011,2017-02-03,1.50850674
P011,2017-02-04,1.43796672
P011,2017-02-05,1.43371794
P011,2017-02-06,1.4948828
P011,2017-02-07,1.49087576
P011,2017-02-08,1.48686871
P011,2017-02-09,1.48206026
P011,2017-02-10,1.47725181
P011,2017-02-11,1.40482617
P011,2017-02-12,1.39972763
P011,2017-02-13,1.46362787
P011,2017-02-14,1.45962083
P011,2017-02-15,1.45481238
P011,2017-02-16,1.45000393
P011,2017-02-17,1.44599689
P011,2017-02-18,1.37083587
P011,2017-02-19,1.3648875600000001
P011,2017-02-20,1.43157153
P011,2017-02-21,1.42676308
P011,2017-02-22,1.42115323
P011,2017-02-23,1.41634478
P011,2017-02-24,1.41153632
P011,2017-02-25,1.33429628
P011,2017-02-26,1.32834798
P011,2017-02-27,1.3963095700000001
P011,2017-02-28,1.39069971
P011,2017-03-01,1.38508985
P011,2017-03-02,1.37947999
P011,2017-03-03,1.37387013
P011,2017-03-04,1.29350791
P011,2017-03-05,1.28755961
P011,2017-03-06,1.35543774
P011,2017-03-07,1.35062929
P011,2017-03-08,1.34341661
P011,2017-03-09,1.33780675
P011,2017-03-10,1.33059408
P011,2017-03-11,1.24677124
P011,2017-03-12,1.23997318
P011,2017-03-13,1.31055887
P011,2017-03-14,1.30254478
P011,2017-03-15,1.29613351
P011,2017-03-16,1.28811943
P011,2017-03-17,1.28090676
P011,2017-03-18,1.19238675
P011,2017-03-19,1.18388917
P011,2017-03-20,1.25606309
P011,2017-03-21,1.24804901
P011,2017-03-22,1.24003493
P011,2017-03-23,1.23121943
P011,2017-03-24,1.22240394
P011,2017-03-25,1.12865492
P011,2017-03-26,1.11930758
P011,2017-03-27,1.19515606
P011,2017-03-28,1.18553916
P011,2017-03-29,1.17592225
P011,2017-03-30,1.16630535
P011,2017-03-31,1.15668845
P011,2017-04-01,1.05944328
P011,2017-04-02,1.04838267
P011,2017-04-03,1.12763804
P011,2017-04-04,1.11720675
P011,2017-04-05,1.10677546
P011,2017-04-06,1.09634417
P011,2017-04-07,1.08591288
P011,2017-04-08,0.98201899
P011,2017-04-09,0.97095838
P011,2017-04-10,1.05381661
P011,2017-04-11,1.04258291
P011,2017-04-12,1.03215162
P011,2017-04-13,1.02091793
P011,2017-04-14,1.00968423
P011,2017-04-15,0.90204225
P011,2017-04-16,0.89098164
P011,2017-04-17,0.87821939
P011,2017-04-18,0.96635426
P011,2017-04-19,0.95431816
P011,2017-04-20,0.94388687
P011,2017-04-21,0.93265318
P011,2017-04-22,0.82036388
P011,2017-04-23,0.80845245
P011,2017-04-24,0.90055691
P011,2017-04-25,0.89012562
P011,2017-04-26,0.87889192
P011,2017-04-27,0.86846063
P011,2017-04-28,0.85802934
P011,2017-04-29,0.74123796
P011,2017-04-30,0.73017735
P011,2017-05-01,0.71826592
P011,2017-05-02,0.81630419
P011,2017-05-03,0.80667531
P011,2017-05-04,0.79624402
P011,2017-05-05,0.78581273
P011,2017-05-06,0.6655153
P011,2017-05-07,0.65530551
P011,2017-05-08,0.64509571
P011,2017-05-09,0.74809961
P011,2017-05-10,0.73847073
P011,2017-05-11,0.72884185
P011,2017-05-12,0.72001537
P011,2017-05-13,0.59574836
P011,2017-05-14,0.58638938
P011,2017-05-15,0.69273354
P011,2017-05-16,0.68310466
P011,2017-05-17,0.67427818
P011,2017-05-18,0.66545171
P011,2017-05-19,0.65742764
P011,2017-05-20,0.53131731
P011,2017-05-21,0.53131731
P011,2017-05-22,0.64962142
P011,2017-05-23,0.64962142
P011,2017-05-24,0.64962142
P011,2017-05-25,0.53131731
P011,2017-05-26,0.64962142
P011,2017-05-27,0.53131731
P011,2017-05-28,0.53131731
P011,2017-05-29,0.64962142
P011,2017-05-30,0.64962142
P011,2017-05-31,0.64962142
P011,2017-06-01,0.64962142
P011,2017-06-02,0.64962142
P011,2017-06-03,0.53131731
P011,2017-06-04,0.53131731
P011,2017-06-05,0.53131731
P011,2017-06-06,0.64962142
P011,2017-06-07,0.64962142
P011,2017-06-08,0.64962142
P011,2017-06-09,0.64962142
P011,2017-06-10,0.53131731
P011,2017-06-11,0.53131731
P011,2017-06-12,0.64962142
P011,2017-06-13,0.64962142
P011,2017-06-14,0.64962142
P011,2017-06-15,0.64962142
P011,2017-06-16,0.64962142
P011,2017-06-17,0.53131731
P011,2017-06-18,0.53131731
P011,2017-06-19,0.64962142
P011,2017-06-20,0.64962142
P011,2017-06-21,0.64962142
P011,2017-06-22,0.64962142
P011,2017-06-23,0.64962142
P011,2017-06-24,0.53131731
P011,2017-06-25,0.53131731
P011,2017-06-26,0.64962142
P011,2017-06-27,0.64962142
P011,2017-06-28,0.64962142
P011,2017-06-29,0.64962142
P011,2017-06-30,0.64962142
P011,2017-07-01,0.53131731
P011,2017-07-02,0.53131731
P011,2017-07-03,0.64962142
P011,2017-07-04,0.64962142
P011,2017-07-05,0.64962142
P011,2017-07-06,0.64962142
P011,2017-07-07,0.64962142
P011,2017-07-08,0.53131731
P011,2017-07-09,0.53131731
P011,2017-07-10,0.64962142
P011,2017-07-11,0.64962142
P011,2017-07-12,0.64962142
P011,2017-07-13,0.64962142
P011,2017-07-14,0.53131731
P011,2017-07-15,0.53131731
P011,2017-07-16,0.53131731
P011,2017-07-17,0.64962142
P011,2017-07-18,0.64962142
P011,2017-07-19,0.64962142
P011,2017-07-20,0.64962142
P011,2017-07-21,0.64962142
P011,2017-07-22,0.53131731
P011,2017-07-23,0.53131731
P011,2017-07-24,0.64962142
P011,2017-07-25,0.64962142
P011,2017-07-26,0.64962142
P011,2017-07-27,0.64962142
P011,2017-07-28,0.64962142
P011,2017-07-29,0.53131731
P011,2017-07-30,0.53131731
P011,2017-07-31,0.64962142
P011,2017-08-01,0.64962142
P011,2017-08-02,0.64962142
P011,2017-08-03,0.64962142
P011,2017-08-04,0.64962142
P011,2017-08-05,0.53131731
P011,2017-08-06,0.53131731
P011,2017-08-07,0.64962142
P011,2017-08-08,0.64962142
P011,2017-08-09,0.64962142
P011,2017-08-10,0.64962142
P011,2017-08-11,0.64962142
P011,2017-08-12,0.53131731
P011,2017-08-13,0.53131731
P011,2017-08-14,0.64962142
P011,2017-08-15,0.53131731
P011,2017-08-16,0.64962142
P011,2017-08-17,0.64962142
P011,2017-08-18,0.64962142
P011,2017-08-19,0.53131731
P011,2017-08-20,0.53131731
P011,2017-08-21,0.64962142
P011,2017-08-22,0.64962142
P011,2017-08-23,0.64962142
P011,2017-08-24,0.64962142
P011,2017-08-25,0.64962142
P011,2017-08-26,0.53131731
P011,2017-08-27,0.53131731
P011,2017-08-28,0.64962142
P011,2017-08-29,0.64962142
P011,2017-08-30,0.64962142
P011,2017-08-31,0.64962142
P011,2017-09-01,0.64962142
P011,2017-09-02,0.53131731
P011,2017-09-03,0.53131731
P011,2017-09-04,0.64962142
P011,2017-09-05,0.64962142
P011,2017-09-06,0.64962142
P011,2017-09-07,0.64962142
P011,2017-09-08,0.64962142
P011,2017-09-09,0.53131731
P011,2017-09-10,0.53131731
P011,2017-09-11,0.64962142
P011,2017-09-12,0.64962142
P011,2017-09-13,0.64962142
P011,2017-09-14,0.64962142
P011,2017-09-15,0.64962142
P011,2017-09-16,0.53131731
P011,2017-09-17,0.53131731
P011,2017-09-18,0.64962142
P011,2017-09-19,0.64962142
P011,2017-09-20,0.65662523
P011,2017-09-21,0.66705652
P011,2017-09-22,0.67748781
P011,2017-09-23,0.5719255
P011,2017-09-24,0.58383693
P011,2017-09-25,0.70878167
P011,2017-09-26,0.72001537
P011,2017-09-27,0.72964425
P011,2017-09-28,0.74087795
P011,2017-09-29,0.75050683
P011,2017-09-30,0.64934979
P011,2017-10-01,0.66126122
P011,2017-10-02,0.7818007
P011,2017-10-03,0.79303439
P011,2017-10-04,0.80346568
P011,2017-10-05,0.81309456
P011,2017-10-06,0.82352585
P011,2017-10-07,0.72677408
P011,2017-10-08,0.73783469
P011,2017-10-09,0.85481972
P011,2017-10-10,0.86525101
P011,2017-10-11,0.87568229
P011,2017-10-12,0.88611358
P011,2017-10-13,0.89654487
P011,2017-10-14,0.80419837
P011,2017-10-15,0.8161098
P011,2017-10-16,0.92864114
P011,2017-10-17,0.93907243
P011,2017-10-18,0.94950372
P011,2017-10-19,0.96073742
P011,2017-10-20,0.97116871
P011,2017-10-21,0.88417511
P011,2017-10-22,0.89608654
P011,2017-10-23,1.00486979
P011,2017-10-24,1.01530108
P011,2017-10-25,1.02653478
P011,2017-10-26,1.03776847
P011,2017-10-27,1.04900217
P011,2017-10-28,0.96670429
P011,2017-10-29,0.97861572
P011,2017-10-30,1.08270325
P011,2017-10-31,1.09473936
P011,2017-11-01,1.01605164
P011,2017-11-02,1.11800915
P011,2017-11-03,1.12924285
P011,2017-11-04,1.05263675
P011,2017-11-05,1.06539899
P011,2017-11-06,1.16454875
P011,2017-11-07,1.17658485
P011,2017-11-08,1.18862095
P011,2017-11-09,1.20065706
P011,2017-11-10,1.21189075
P011,2017-11-11,1.14027083
P011,2017-11-12,1.15303308
P011,2017-11-13,1.24719665
P011,2017-11-14,1.26003516
P011,2017-11-15,1.27207126
P011,2017-11-16,1.28250255
P011,2017-11-17,1.29453866
P011,2017-11-18,1.2270541
P011,2017-11-19,1.24066716
P011,2017-11-20,1.32904215
P011,2017-11-21,1.34027584
P011,2017-11-22,1.35150954
P011,2017-11-23,1.36354564
P011,2017-11-24,1.37397693
P011,2017-11-25,1.31043411
P011,2017-11-26,1.32234553
P011,2017-11-27,1.4060732
P011,2017-11-28,1.41650449
P011,2017-11-29,1.42613337
P011,2017-11-30,1.43576226
P011,2017-12-01,1.44539114
P011,2017-12-02,1.38530595
P011,2017-12-03,1.39551574
P011,2017-12-04,1.47347538
P011,2017-12-05,1.48310426
P011,2017-12-06,1.49112833
P011,2017-12-07,1.4991524
P011,2017-12-08,1.50717646
P011,2017-12-09,1.44826636
P011,2017-12-10,1.45677452
P011,2017-12-11,1.52884145
P011,2017-12-12,1.53606311
P011,2017-12-13,1.54248236
P011,2017-12-14,1.54890162
P011,2017-12-15,1.55451847
P011,2017-12-16,1.49676289
P011,2017-12-17,1.5027186
P011,2017-12-18,1.5697642
P011,2017-12-19,1.57457864
P011,2017-12-20,1.57859067
P011,2017-12-21,1.5826027
P011,2017-12-22,1.58661474
P011,2017-12-23,1.52739228
P011,2017-12-24,1.52994473
P011,2017-12-25,1.53334799
P011,2017-12-26,1.59704603
P011,2017-12-27,1.59945325
P011,2017-12-28,1.60025565
P011,2017-12-29,1.60186047
P011,2017-12-30,1.54100534
P011,2017-12-31,1.54185616
P011,2018-01-01,1.54270697
P011,2018-01-02,1.60346528
P011,2018-01-03,1.60346528
P011,2018-01-04,1.60266288
P011,2018-01-05,1.60266288
P011,2018-01-06,1.54100534
P011,2018-01-07,1.53930371
P011,2018-01-08,1.59865084
P011,2018-01-09,1.59704603
P011,2018-01-10,1.59544121
P011,2018-01-11,1.59303399
P011,2018-01-12,1.59142918
P011,2018-01-13,1.52654146
P011,2018-01-14,1.52398901
P011,2018-01-15,1.58340511
P011,2018-01-16,1.58019548
P011,2018-01-17,1.57698586
P011,2018-01-18,1.57377623
P011,2018-01-19,1.5697642
P011,2018-01-20,1.50442024
P011,2018-01-21,1.50016615
P011,2018-01-22,1.55933291
P011,2018-01-23,1.55532087
P011,2018-01-24,1.55211125
P011,2018-01-25,1.54809921
P011,2018-01-26,1.54408718
P011,2018-01-27,1.47549248
P011,2018-01-28,1.4712384
P011,2018-01-29,1.53124867
P011,2018-01-30,1.52803904
P011,2018-01-31,1.5232246
P011,2018-02-01,1.51841016
P011,2018-02-02,1.51520053
P011,2018-02-03,1.44401227
P011,2018-02-04,1.43975819
P011,2018-02-05,1.50236202
P011,2018-02-06,1.49674517
P011,2018-02-07,1.49273314
P011,2018-02-08,1.48872111
P011,2018-02-09,1.48390667
P011,2018-02-10,1.41083044
P011,2018-02-11,1.40657635
P011,2018-02-12,1.47026575
P011,2018-02-13,1.46545131
P011,2018-02-14,1.46143927
P011,2018-02-15,1.45662483
P011,2018-02-16,1.45181039
P011,2018-02-17,1.3776486
P011,2018-02-18,1.3725437
P011,2018-02-19,1.43736707
P011,2018-02-20,1.43335504
P011,2018-02-21,1.42854059
P011,2018-02-22,1.42292375
P011,2018-02-23,1.41810931
P011,2018-02-24,1.34106349
P011,2018-02-25,1.3359586
P011,2018-02-26,1.40286358
P011,2018-02-27,1.39804914
P011,2018-02-28,1.39243229
P011,2018-03-01,1.38681544
P011,2018-03-02,1.38119859
P011,2018-03-03,1.30107513
P011,2018-03-04,1.29511941
P011,2018-03-05,1.36434805
P011,2018-03-06,1.35712639
P011,2018-03-07,1.35231195
P011,2018-03-08,1.34509029
P011,2018-03-09,1.33947344
P011,2018-03-10,1.25513104
P011,2018-03-11,1.24832451
P011,2018-03-12,1.31941327
P011,2018-03-13,1.31219161
P011,2018-03-14,1.30416754
P011,2018-03-15,1.29774828
P011,2018-03-16,1.28972421
P011,2018-03-17,1.20238043
P011,2018-03-18,1.19387226
P011,2018-03-19,1.26645442
P011,2018-03-20,1.2576279400000001
P011,2018-03-21,1.24960387
P011,2018-03-22,1.24157981
P011,2018-03-23,1.23275333
P011,2018-03-24,1.14027083
P011,2018-03-25,1.13006104
P011,2018-03-26,1.2054715
P011,2018-03-27,1.19664502
P011,2018-03-28,1.18701614
P011,2018-03-29,1.17738726
P011,2018-03-30,1.16775838
P011,2018-03-31,1.07050389
P011,2018-04-01,1.05942343
P011,2018-04-02,1.046896
P011,2018-04-03,1.12734444
P011,2018-04-04,1.1168252
P011,2018-04-05,1.10623848
P011,2018-04-06,1.09562513
P011,2018-04-07,0.99391179
P011,2018-04-08,0.98201974
P011,2018-04-09,1.06376679
P011,2018-04-10,1.05354224
P011,2018-04-11,1.04222685
P011,2018-04-12,1.0315289
P011,2018-04-13,1.02002961
P011,2018-04-14,0.91308576
P011,2018-04-15,0.90204294
P011,2018-04-16,0.98844927
P011,2018-04-17,0.97653124
P011,2018-04-18,0.96602424
P011,2018-04-19,0.9537424
P011,2018-04-20,0.94318295
P011,2018-04-21,0.8314389
P011,2018-04-22,0.82036451
P011,2018-04-23,0.91064512
P011,2018-04-24,0.90032244
P011,2018-04-25,0.89014104
P011,2018-04-26,0.87836166
P011,2018-04-27,0.86781296
P011,2018-04-28,0.75228448
P011,2018-04-29,0.74123852
P011,2018-04-30,0.83685149
P011,2018-05-01,0.71788856
P011,2018-05-02,0.8160254
P011,2018-05-03,0.80618862
P011,2018-05-04,0.79565021
P011,2018-05-05,0.67571244
P011,2018-05-06,0.66551581
P011,2018-05-07,0.76626629
P011,2018-05-08,0.64475679
P011,2018-05-09,0.74776849
P011,2018-05-10,0.62526331
P011,2018-05-11,0.7282983
P011,2018-05-12,0.6059468
P011,2018-05-13,0.5954633
P011,2018-05-14,0.70139807
P011,2018-05-15,0.69255318
P011,2018-05-16,0.68287136
P011,2018-05-17,0.6737356
P011,2018-05-18,0.66495544
P011,2018-05-19,0.53958437
P011,2018-05-20,0.53130736
P011,2018-05-21,0.53087461
P011,2018-05-22,0.64945229
P011,2018-05-23,0.64939957
P011,2018-05-24,0.64930624
P011,2018-05-25,0.64919537
P011,2018-05-26,0.53130736
P011,2018-05-27,0.53131772
P011,2018-05-28,0.64932775
P011,2018-05-29,0.64939548
P011,2018-05-30,0.64939957
P011,2018-05-31,0.64922949
P011,2018-06-01,0.64905618
P011,2018-06-02,0.53105953
P011,2018-06-03,0.53131772
P011,2018-06-04,0.64937678
P011,2018-06-05,0.64945229
P011,2018-06-06,0.64939957
P011,2018-06-07,0.64922949
P011,2018-06-08,0.64913696
P011,2018-06-09,0.53132652
P011,2018-06-10,0.53131772
P011,2018-06-11,0.64937678
P011,2018-06-12,0.64945229
P011,2018-06-13,0.64963268
P011,2018-06-14,0.64922949
P011,2018-06-15,0.64913696
P011,2018-06-16,0.53130736
P011,2018-06-17,0.53131772
P011,2018-06-18,0.64937678
P011,2018-06-19,0.64945229
P011,2018-06-20,0.64939957
P011,2018-06-21,0.64922949
P011,2018-06-22,0.64913696
P011,2018-06-23,0.53130736
P011,2018-06-24,0.53131772
P011,2018-06-25,0.64937678
P011,2018-06-26,0.64945229
P011,2018-06-27,0.64939957
P011,2018-06-28,0.64922949
P011,2018-06-29,0.64913696
P011,2018-06-30,0.53130736
P011,2018-07-01,0.53131772
P011,2018-07-02,0.64937678
P011,2018-07-03,0.64945229
P011,2018-07-04,0.64939957
P011,2018-07-05,0.64922949
P011,2018-07-06,0.64913696
P011,2018-07-07,0.53130736
P011,2018-07-08,0.53131772
P011,2018-07-09,0.64937678
P011,2018-07-10,0.64945229
P011,2018-07-11,0.64939957
P011,2018-07-12,0.64922949
P011,2018-07-13,0.64913696
P011,2018-07-14,0.53103817
P011,2018-07-15,0.53131772
P011,2018-07-16,0.64937678
P011,2018-07-17,0.64945229
P011,2018-07-18,0.64939957
P011,2018-07-19,0.64922949
P011,2018-07-20,0.64913696
P011,2018-07-21,0.53130736
P011,2018-07-22,0.53131772
P011,2018-07-23,0.64937678
P011,2018-07-24,0.64945229
P011,2018-07-25,0.64939957
P011,2018-07-26,0.64922949
P011,2018-07-27,0.64913696
P011,2018-07-28,0.53130736
P011,2018-07-29,0.53131772
P011,2018-07-30,0.64937678
P011,2018-07-31,0.64945229
P011,2018-08-01,0.64939957
P011,2018-08-02,0.64922949
P011,2018-08-03,0.64913696
P011,2018-08-04,0.53130736
P011,2018-08-05,0.53131772
P011,2018-08-06,0.64937678
P011,2018-08-07,0.64945229
P011,2018-08-08,0.64939957
P011,2018-08-09,0.64922949
P011,2018-08-10,0.64913696
P011,2018-08-11,0.53130736
P011,2018-08-12,0.53131772
P011,2018-08-13,0.64937678
P011,2018-08-14,0.64945229
P011,2018-08-15,0.53103817
P011,2018-08-16,0.64922949
P011,2018-08-17,0.64913696
P011,2018-08-18,0.53130736
P011,2018-08-19,0.53131772
P011,2018-08-20,0.64937678
P011,2018-08-21,0.64945229
